date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:05:02	1034/1034	UR-MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:56%20GMT	http://radixtouch.in/hospital/js/login.js	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/login.js	(from http://radixtouch.in/hospital/login.html)
21:05:02	1136/1136	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Aug%202017%2004:38:58%20GMT	http://radixtouch.in/hospital/js/datatables/images/sort_both.png	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/datatables/images/sort_both.png	(from http://radixtouch.in/hospital/css/plugins.min.css)
21:05:03	1118/1118	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Aug%202017%2004:38:56%20GMT	http://radixtouch.in/hospital/js/datatables/images/sort_asc.png	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/datatables/images/sort_asc.png	(from http://radixtouch.in/hospital/css/plugins.min.css)
21:05:03	1127/1127	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Aug%202017%2004:38:50%20GMT	http://radixtouch.in/hospital/js/datatables/images/sort_desc.png	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/datatables/images/sort_desc.png	(from http://radixtouch.in/hospital/css/plugins.min.css)
21:05:03	23480/23480	UR-MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:54%20GMT	http://radixtouch.in/hospital/js/bootstrap-wysihtml5/bootstrap-wysihtml5.js	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/bootstrap-wysihtml5/bootstrap-wysihtml5.js	(from http://radixtouch.in/hospital/email_compose.html)
21:05:04	2916/2916	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Aug%202017%2004:38:54%20GMT	http://radixtouch.in/hospital/js/datatables/images/sort_asc_disabled.png	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/datatables/images/sort_asc_disabled.png	(from http://radixtouch.in/hospital/css/plugins.min.css)
21:05:05	1045/1045	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Aug%202017%2004:38:52%20GMT	http://radixtouch.in/hospital/js/datatables/images/sort_desc_disabled.png	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/datatables/images/sort_desc_disabled.png	(from http://radixtouch.in/hospital/css/plugins.min.css)
21:05:06	34302/34302	UR-MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:50%20GMT	http://radixtouch.in/hospital/js/moment.min.js	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/moment.min.js	(from http://radixtouch.in/hospital/schedule.html)
21:05:07	4445/4445	UR-MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:54%20GMT	http://radixtouch.in/hospital/js/calendar.min.js	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/calendar.min.js	(from http://radixtouch.in/hospital/schedule.html)
21:05:08	680/680	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2002%20Sep%202017%2015:35:07%20GMT	http://radixtouch.in/hospital/css/images/arrow-down.png	/home/gaurav/websites/Hospital/radixtouch.in/hospital/css/images/arrow-down.png	(from http://radixtouch.in/hospital/css/style.css)
